Line,Dose,Infection_Status,Total_Exposed
IL-1,1,72,90
IL-1,0.1,22,54
IL-1,0.01,12,57
IL-1,0.001,4,58
IL-2,1,40,71
IL-2,0.1,40,66
IL-2,0.01,4,44
IL-2,0.001,0,64
IL-4,1,44,57
IL-4,0.1,44,56
IL-4,0.01,6,61
IL-4,0.001,0,68
IL-7,1,38,71
IL-7,0.1,42,72
IL-7,0.01,12,69
IL-7,0.001,0,70
IL-9,1,37,50
IL-9,0.1,33,49
IL-9,0.01,7,58
IL-9,0.001,0,56
IL-10,1,45,64
IL-10,0.1,22,40
IL-10,0.01,4,59
IL-10,0.001,1,46
IL-14,1,43,59
IL-14,0.1,27,63
IL-14,0.01,4,64
IL-14,0.001,0,67
IL-17,1,37,58
IL-17,0.1,20,50
IL-17,0.01,0,49
IL-17,0.001,0,58
IL-19,1,40,51
IL-19,0.1,31,56
IL-19,0.01,3,62
IL-19,0.001,0,54
IL-24,1,25,43
IL-24,0.1,17,48
IL-24,0.01,4,45
IL-24,0.001,0,64
IL-29,1,48,62
IL-29,0.1,33,67
IL-29,0.01,9,62
IL-29,0.001,0,73
IL-36,1,32,44
IL-36,0.1,16,48
IL-36,0.01,5,34
IL-36,0.001,0,38
Stock,1,60,82
Stock,0.1,39,56
Stock,0.01,7,62
Stock,0.001,2,84
