"Population","Avg_LD50","SE"
"IL-1",0.484221699678348,0.0569415283413791
"IL-2",0.753996304228741,0.117687493767191
"IL-4",0.438561287789721,0.0646675433767547
"IL-7",0.811488282129429,0.137035519773885
"IL-9",0.513830850414849,0.0748427457004488
"IL-10",0.624839738959846,0.0774290041175162
"IL-14",0.573131174260713,0.0468495120168621
"IL-17",0.663469727507442,0.0669974408225461
"IL-19",0.491312786505129,0.0677162048666625
"IL-24",0.826222211449035,0.10640604613738
"IL-29",0.523675111955961,0.062785485993684
"IL-36",0.618241335359646,0.0823137648758789
"Stock",0.518487926446158,0.062475568905985
